Date,Actual,Predicted,Naive
2025-03-13,3282.39990234375,2925.0672529862322,2984.300048828125
2025-03-14,3332.5,2935.4607287587005,2994.5
2025-03-17,3318.800048828125,2941.6817040177557,3000.0
2025-03-18,3305.0,2962.473382225706,3035.10009765625
2025-03-19,3210.0,2965.665229674659,3035.89990234375
2025-03-20,3231.89990234375,2967.2412199504115,3040.0
2025-03-21,3311.300048828125,2957.526573395694,3018.199951171875
2025-03-24,3411.39990234375,2949.4974133013293,3013.10009765625
2025-03-25,3381.39990234375,2949.956615020188,3023.699951171875
2025-03-26,3296.60009765625,2950.8734502385187,3020.89990234375
2025-03-27,3335.39990234375,2978.671113509434,3060.199951171875
2025-03-28,3220.0,2995.4215997271294,3086.5
2025-03-31,3240.300048828125,3018.579724993054,3122.800048828125
2025-04-01,3181.39990234375,3016.110771451148,3118.89990234375
2025-04-02,3220.699951171875,3027.6388350666703,3139.89990234375
2025-04-03,3182.0,3006.528334387981,3097.0
2025-04-04,3228.89990234375,2945.8953984875507,3012.0
2025-04-07,3280.300048828125,2897.7464921360015,2951.300048828125
2025-04-08,3309.300048828125,2901.852449836876,2968.39990234375
2025-04-09,3292.300048828125,2961.469146708757,3056.5
2025-04-10,3363.60009765625,3029.8836896300927,3155.199951171875
2025-04-11,3299.10009765625,3086.826693815019,3222.199951171875
2025-04-14,3293.60009765625,3086.3842232098077,3204.800048828125
2025-04-15,3317.10009765625,3086.604928161679,3218.699951171875
2025-04-16,3288.89990234375,3144.2721589898892,3326.60009765625
2025-04-17,3370.60009765625,3156.1322660098285,3308.699951171875
2025-04-21,3350.199951171875,3210.805769944848,3406.199951171875
2025-04-22,3373.5,3227.1023027590836,3400.800048828125
2025-04-23,3350.699951171875,3161.3914049388522,3276.300048828125
2025-04-24,3322.699951171875,3170.2481522095804,3332.0
2025-04-25,3332.10009765625,3151.7707793875697,3282.39990234375
2025-04-28,3320.89990234375,3175.66678952873,3332.5
2025-04-29,3321.300048828125,3174.0756396563174,3318.800048828125
2025-04-30,3380.89990234375,3166.5496523389156,3305.0
2025-05-01,3431.199951171875,3100.9899026762105,3210.0
2025-05-02,3396.39990234375,3090.142056487026,3231.89990234375
2025-05-05,3386.60009765625,3140.5932196169415,3311.300048828125
2025-05-06,3389.800048828125,3207.312801166857,3411.39990234375
2025-05-07,3368.10009765625,3219.206806398528,3381.39990234375
2025-05-08,3377.699951171875,3166.7487737731844,3296.60009765625
2025-05-09,3317.39990234375,3185.057861246756,3335.39990234375
2025-05-12,3327.10009765625,3117.785650128345,3220.0
2025-05-13,3333.5,3103.4307956434595,3240.300048828125
2025-05-14,3273.699951171875,3077.363957721075,3181.39990234375
2025-05-15,3294.39990234375,3095.544636466102,3220.699951171875
2025-05-16,3336.699951171875,3077.1386312066306,3182.0
2025-05-19,3348.0,3095.07246933038,3228.89990234375
2025-05-20,3331.60009765625,3139.6992595823067,3280.300048828125
2025-05-21,3332.5,3170.5346551575394,3309.300048828125
2025-05-22,3332.199951171875,3174.1797495029905,3292.300048828125
2025-05-23,3307.0,3215.5237757501036,3363.60009765625
2025-05-27,3311.60009765625,3188.484949229076,3299.10009765625
2025-05-28,3317.39990234375,3175.417909557603,3293.60009765625
2025-05-29,3356.0,3191.8562692470896,3317.10009765625
2025-05-30,3351.5,3183.088623438207,3288.89990234375
2025-06-02,3329.800048828125,3226.9299987250824,3370.60009765625
